Year,Reporter_Country,Reporter_Region,Partner_Country,Partner_Region,Flow_Type,Product_Category,Trade_Value_USD,Tariff_Rate,Disruption_Risk_Score
2019,Singapore,Asia,Netherlands,Europe,Export,Logic ICs,99894.57,0.13,4
2019,Singapore,Asia,Mexico,North America,Export,Analog ICs,6436.45,0.082,5
2019,Mexico,North America,Germany,Europe,Import,Logic ICs,1502491.49,0.098,2
2019,Canada,North America,Germany,Europe,Export,Analog ICs,257924.63,0.058,10
2019,Vietnam,Asia,UK,Europe,Export,Analog ICs,1664.95,0.042,4
2019,Vietnam,Asia,South Korea,Asia,Export,Optoelectronics,54030.14,0.082,5
2019,Malaysia,Asia,Singapore,Asia,Export,Analog ICs,18817.39,0.149,4
2019,China,Asia,USA,North America,Import,Sensors,1024.41,0.102,7
2019,Malaysia,Asia,Germany,Europe,Import,Sensors,45530.57,0.135,4
2019,Malaysia,Asia,Taiwan,Asia,Import,Analog ICs,48246.75,0.102,4
2019,Germany,Europe,Vietnam,Asia,Import,Optoelectronics,17170.52,0.014,9
2019,Japan,Asia,India,Asia,Import,Microprocessors,828467.72,0.145,9
2019,Vietnam,Asia,Mexico,North America,Import,Optoelectronics,49472.18,0.126,8
2019,Vietnam,Asia,Malaysia,Asia,Export,Analog ICs,8586.3,0.013,3
2019,Singapore,Asia,Canada,North America,Import,Sensors,35034.9,0.122,7
2019,Malaysia,Asia,Canada,North America,Export,Microprocessors,5234.94,0.117,6
2019,Netherlands,Europe,India,Asia,Export,Memory ICs,14372.99,0.05,3
2019,Canada,North America,China,Asia,Export,Sensors,42000.51,0.112,9
2019,France,Europe,Mexico,North America,Import,Logic ICs,4211.35,0.13,6
2019,South Korea,Asia,Taiwan,Asia,Export,Microprocessors,24130.11,0.048,6
2019,South Korea,Asia,India,Asia,Export,Optoelectronics,47971.35,0.038,3
2019,Japan,Asia,Malaysia,Asia,Export,Logic ICs,5412.0,0.149,6
2019,Taiwan,Asia,Germany,Europe,Export,Logic ICs,3183.63,0.137,10
2019,Singapore,Asia,Taiwan,Asia,Export,Microprocessors,3058.08,0.097,8
2019,Vietnam,Asia,Mexico,North America,Export,Microprocessors,8247.56,0.012,9
2019,Japan,Asia,India,Asia,Export,Logic ICs,6059.34,0.09,3
2019,Canada,North America,Taiwan,Asia,Export,Analog ICs,896.75,0.109,9
2019,China,Asia,Vietnam,Asia,Export,Sensors,19011.09,0.122,1
2019,India,Asia,South Korea,Asia,Export,Logic ICs,12525.95,0.145,1
2019,Canada,North America,USA,North America,Export,Logic ICs,907.91,0.008,6
2019,Mexico,North America,USA,North America,Import,Optoelectronics,6642.54,0.149,5
2019,Netherlands,Europe,South Korea,Asia,Import,Optoelectronics,6072.04,0.036,9
2019,UK,Europe,USA,North America,Import,Optoelectronics,331684.92,0.091,1
2019,USA,North America,Singapore,Asia,Export,Memory ICs,4205.77,0.101,2
2019,Taiwan,Asia,Germany,Europe,Import,Memory ICs,11995.31,0.128,6
2019,Mexico,North America,South Korea,Asia,Export,Sensors,50383.83,0.072,7
2019,France,Europe,South Korea,Asia,Import,Sensors,322602.76,0.106,3
2019,Netherlands,Europe,Taiwan,Asia,Export,Microprocessors,24542.01,0.095,3
2019,France,Europe,China,Asia,Export,Logic ICs,35621.42,0.077,8
2019,France,Europe,Mexico,North America,Export,Memory ICs,730.14,0.069,2
2019,Taiwan,Asia,South Korea,Asia,Export,Optoelectronics,19710.46,0.031,3
2019,France,Europe,Malaysia,Asia,Import,Analog ICs,45853.03,0.027,8
2019,Malaysia,Asia,Germany,Europe,Export,Analog ICs,3361.83,0.077,2
2019,Canada,North America,Vietnam,Asia,Import,Analog ICs,8050.79,0.052,6
2019,South Korea,Asia,Taiwan,Asia,Import,Optoelectronics,178193.55,0.069,10
2019,UK,Europe,China,Asia,Import,Sensors,4814.13,0.014,9
2019,Taiwan,Asia,France,Europe,Export,Sensors,2163.21,0.024,1
2019,Vietnam,Asia,Japan,Asia,Import,Logic ICs,31453.23,0.08,8
2019,Taiwan,Asia,UK,Europe,Export,Microprocessors,23653.61,0.055,8
2019,China,Asia,Canada,North America,Export,Sensors,124703.99,0.112,2
2019,Vietnam,Asia,Taiwan,Asia,Import,Analog ICs,56504.39,0.036,9
2019,Netherlands,Europe,South Korea,Asia,Export,Memory ICs,713410.2,0.013,9
2019,USA,North America,Canada,North America,Export,Logic ICs,34429.61,0.102,3
2019,Malaysia,Asia,Canada,North America,Export,Microprocessors,2542501.02,0.112,1
2019,Mexico,North America,Germany,Europe,Export,Logic ICs,167554.74,0.051,4
2019,Vietnam,Asia,China,Asia,Import,Analog ICs,58201.86,0.036,6
2019,South Korea,Asia,Taiwan,Asia,Export,Microprocessors,28416.66,0.128,8
2019,Netherlands,Europe,Malaysia,Asia,Import,Analog ICs,147.6,0.147,6
2019,China,Asia,Japan,Asia,Export,Analog ICs,86619.86,0.13,6
2019,Taiwan,Asia,USA,North America,Export,Sensors,63362.86,0.084,8
2019,Vietnam,Asia,Germany,Europe,Import,Microprocessors,33356.47,0.031,10
2019,Taiwan,Asia,Japan,Asia,Import,Microprocessors,849.73,0.017,10
2019,UK,Europe,Taiwan,Asia,Import,Sensors,24249.95,0.023,4
2019,Canada,North America,India,Asia,Import,Logic ICs,4934.76,0.082,10
2019,Mexico,North America,China,Asia,Import,Memory ICs,764.09,0.013,5
2019,Malaysia,Asia,USA,North America,Import,Analog ICs,2622809.28,0.119,1
2019,South Korea,Asia,UK,Europe,Export,Microprocessors,6575.93,0.061,5
2019,Singapore,Asia,India,Asia,Import,Memory ICs,58459.42,0.126,8
2019,India,Asia,Malaysia,Asia,Import,Sensors,519316.18,0.12,3
2019,South Korea,Asia,Germany,Europe,Import,Sensors,266.08,0.132,9
2019,China,Asia,Singapore,Asia,Export,Sensors,45322.41,0.135,6
2019,USA,North America,Netherlands,Europe,Import,Logic ICs,42355.55,0.058,5
2019,Singapore,Asia,Germany,Europe,Import,Analog ICs,14211.39,0.065,3
2019,Netherlands,Europe,Germany,Europe,Export,Memory ICs,43347.0,0.093,4
2019,UK,Europe,Netherlands,Europe,Import,Microprocessors,9599.1,0.15,9
2019,USA,North America,Canada,North America,Import,Analog ICs,451144.35,0.132,1
2019,Taiwan,Asia,Canada,North America,Import,Microprocessors,49220.67,0.069,4
2019,Singapore,Asia,France,Europe,Import,Optoelectronics,128.27,0.116,3
2019,Germany,Europe,Japan,Asia,Export,Memory ICs,10187.57,0.038,5
2019,Japan,Asia,India,Asia,Export,Memory ICs,2088.98,0.064,10
2019,UK,Europe,India,Asia,Export,Memory ICs,5650.37,0.088,2
2019,Malaysia,Asia,USA,North America,Import,Microprocessors,7647.22,0.138,5
2019,Singapore,Asia,South Korea,Asia,Export,Memory ICs,99492.02,0.116,10
2019,Malaysia,Asia,Taiwan,Asia,Import,Optoelectronics,6280.23,0.028,7
2019,Malaysia,Asia,USA,North America,Import,Sensors,8178.15,0.078,8
2019,France,Europe,South Korea,Asia,Import,Logic ICs,4478.28,0.118,10
2019,Malaysia,Asia,Germany,Europe,Import,Microprocessors,82582.28,0.081,6
2019,China,Asia,Netherlands,Europe,Export,Analog ICs,11253.46,0.034,3
2019,Taiwan,Asia,Singapore,Asia,Import,Microprocessors,620352.44,0.063,8
2019,USA,North America,Canada,North America,Import,Analog ICs,2880.2,0.144,1
2019,Japan,Asia,Taiwan,Asia,Export,Microprocessors,61903.91,0.08,8
2019,USA,North America,Netherlands,Europe,Import,Optoelectronics,1443.16,0.12,1
2019,Canada,North America,UK,Europe,Export,Analog ICs,481.78,0.01,3
2019,France,Europe,China,Asia,Export,Sensors,344.9,0.084,4
2019,USA,North America,Singapore,Asia,Import,Analog ICs,1842.21,0.056,10
2019,Germany,Europe,UK,Europe,Export,Microprocessors,253826.61,0.038,7
2019,India,Asia,France,Europe,Import,Sensors,284.68,0.051,5
2019,Germany,Europe,USA,North America,Export,Memory ICs,268232.83,0.144,4
2019,South Korea,Asia,Taiwan,Asia,Import,Sensors,51054.51,0.044,2
2019,Netherlands,Europe,Vietnam,Asia,Import,Logic ICs,42288.31,0.063,2
2019,USA,North America,France,Europe,Import,Microprocessors,1804.02,0.05,2
2019,Germany,Europe,Netherlands,Europe,Import,Microprocessors,8509.5,0.116,9
2019,China,Asia,South Korea,Asia,Export,Analog ICs,167941.99,0.142,6
2019,Mexico,North America,Singapore,Asia,Import,Memory ICs,38907.61,0.071,1
2019,China,Asia,Germany,Europe,Import,Sensors,23791.96,0.111,2
2019,Canada,North America,Malaysia,Asia,Import,Logic ICs,30999.64,0.148,10
2019,Canada,North America,China,Asia,Import,Optoelectronics,38113.51,0.003,2
2019,South Korea,Asia,Vietnam,Asia,Export,Logic ICs,49836.63,0.098,10
2019,Mexico,North America,Netherlands,Europe,Import,Memory ICs,731.31,0.021,9
2019,France,Europe,Taiwan,Asia,Import,Memory ICs,1847901.41,0.026,1
2019,Vietnam,Asia,South Korea,Asia,Export,Sensors,167500.25,0.078,2
2019,Mexico,North America,Taiwan,Asia,Import,Logic ICs,32001.36,0.037,5
2019,India,Asia,Singapore,Asia,Import,Microprocessors,4862.14,0.108,7
2019,Singapore,Asia,Germany,Europe,Export,Memory ICs,62301.73,0.02,8
2019,USA,North America,Vietnam,Asia,Export,Microprocessors,17384.83,0.024,4
2019,India,Asia,USA,North America,Export,Analog ICs,750.61,0.116,5
2019,Malaysia,Asia,Singapore,Asia,Import,Logic ICs,158616.47,0.074,8
2019,Vietnam,Asia,Malaysia,Asia,Import,Analog ICs,59842.73,0.104,6
2019,China,Asia,Mexico,North America,Import,Optoelectronics,63907.39,0.014,1
2019,Canada,North America,USA,North America,Export,Logic ICs,1573.89,0.081,8
2019,Germany,Europe,Singapore,Asia,Import,Optoelectronics,14009.76,0.114,5
2019,Taiwan,Asia,Singapore,Asia,Import,Memory ICs,1039.92,0.148,10
2019,France,Europe,Vietnam,Asia,Export,Logic ICs,19617.75,0.027,5
2019,Taiwan,Asia,Vietnam,Asia,Import,Sensors,45028.57,0.029,8
2019,China,Asia,India,Asia,Import,Optoelectronics,6805.33,0.071,4
2019,Netherlands,Europe,Germany,Europe,Export,Analog ICs,1325.68,0.018,2
2019,Germany,Europe,South Korea,Asia,Import,Memory ICs,179994.03,0.109,7
2019,France,Europe,Singapore,Asia,Import,Microprocessors,5995.89,0.094,10
2019,Mexico,North America,UK,Europe,Export,Analog ICs,177564.96,0.131,7
2019,Canada,North America,China,Asia,Export,Analog ICs,20982.53,0.087,9
2019,Vietnam,Asia,UK,Europe,Import,Microprocessors,7255.77,0.111,1
2019,Germany,Europe,Canada,North America,Export,Sensors,54673.09,0.088,1
2019,South Korea,Asia,UK,Europe,Import,Logic ICs,97545.73,0.016,9
2019,Singapore,Asia,Japan,Asia,Export,Analog ICs,15812.47,0.132,8
2019,India,Asia,UK,Europe,Import,Memory ICs,4225.24,0.025,4
2019,Japan,Asia,India,Asia,Export,Microprocessors,8495.1,0.125,10
2019,India,Asia,China,Asia,Import,Memory ICs,181843.7,0.006,10
2019,Germany,Europe,Singapore,Asia,Export,Optoelectronics,377380.22,0.104,8
2019,Germany,Europe,Taiwan,Asia,Import,Optoelectronics,7033.98,0.081,9
2019,Japan,Asia,UK,Europe,Import,Memory ICs,246.82,0.041,9
2019,Germany,Europe,Malaysia,Asia,Export,Microprocessors,3801.91,0.005,8
2019,Malaysia,Asia,South Korea,Asia,Import,Analog ICs,3193.16,0.001,5
2019,Vietnam,Asia,China,Asia,Export,Optoelectronics,3996.49,0.033,5
2019,Canada,North America,USA,North America,Export,Optoelectronics,3449931.22,0.124,8
2019,Singapore,Asia,China,Asia,Export,Analog ICs,7617.95,0.13,1
2019,Taiwan,Asia,Singapore,Asia,Import,Microprocessors,113659.72,0.105,10
2019,Japan,Asia,France,Europe,Import,Sensors,60751.56,0.028,5
2019,India,Asia,Canada,North America,Export,Logic ICs,10502.34,0.112,2
2019,Japan,Asia,China,Asia,Export,Optoelectronics,4158.38,0.076,7
2019,China,Asia,Canada,North America,Export,Analog ICs,23139.22,0.039,8
2019,Canada,North America,Germany,Europe,Export,Sensors,26368.15,0.043,7
2019,Vietnam,Asia,Malaysia,Asia,Export,Memory ICs,247202.69,0.14,6
2019,Japan,Asia,China,Asia,Export,Analog ICs,1232.76,0.025,6
2019,USA,North America,Vietnam,Asia,Export,Logic ICs,6815.15,0.097,4
2019,Canada,North America,Mexico,North America,Import,Optoelectronics,1006117.25,0.003,6
2019,France,Europe,Germany,Europe,Import,Memory ICs,85527.98,0.015,9
2019,Netherlands,Europe,France,Europe,Import,Optoelectronics,20009.07,0.104,4
2019,China,Asia,France,Europe,Export,Microprocessors,1701.71,0.143,8
2019,Mexico,North America,Canada,North America,Import,Optoelectronics,126110.61,0.096,6
2019,Germany,Europe,Malaysia,Asia,Import,Analog ICs,2360.97,0.109,2
2019,Canada,North America,Germany,Europe,Export,Logic ICs,2116.07,0.098,2
2019,France,Europe,Mexico,North America,Export,Analog ICs,43715.18,0.116,2
2019,Japan,Asia,Netherlands,Europe,Import,Optoelectronics,54913.06,0.02,5
2019,Singapore,Asia,Mexico,North America,Export,Analog ICs,15942.58,0.0,7
2019,USA,North America,UK,Europe,Export,Microprocessors,1506.36,0.065,6
2019,Malaysia,Asia,Mexico,North America,Import,Sensors,913.42,0.12,1
2019,Singapore,Asia,South Korea,Asia,Export,Sensors,68145.62,0.059,6
2019,India,Asia,Canada,North America,Import,Logic ICs,144306.7,0.022,9
2019,UK,Europe,France,Europe,Export,Sensors,119614.23,0.093,4
2019,USA,North America,Vietnam,Asia,Export,Memory ICs,33415.18,0.013,1
2019,Canada,North America,Japan,Asia,Export,Sensors,371.12,0.048,6
2019,Netherlands,Europe,Vietnam,Asia,Export,Memory ICs,7027.89,0.025,1
2019,Singapore,Asia,India,Asia,Import,Analog ICs,69228.34,0.134,9
2019,Taiwan,Asia,Malaysia,Asia,Import,Logic ICs,89004.89,0.107,4
2019,UK,Europe,France,Europe,Import,Analog ICs,48386.24,0.134,4
2019,Taiwan,Asia,Vietnam,Asia,Export,Memory ICs,6909.12,0.025,2
2019,Taiwan,Asia,Mexico,North America,Import,Microprocessors,20989.77,0.024,3
2019,Vietnam,Asia,Germany,Europe,Import,Sensors,2798.52,0.118,7
2019,Germany,Europe,Mexico,North America,Export,Sensors,7641.92,0.108,6
2019,South Korea,Asia,Singapore,Asia,Import,Analog ICs,2308.48,0.102,6
2019,France,Europe,USA,North America,Import,Microprocessors,136175.8,0.026,5
2019,France,Europe,Vietnam,Asia,Import,Microprocessors,351120.32,0.115,8
2019,China,Asia,USA,North America,Import,Logic ICs,100198.8,0.066,5
2019,China,Asia,Japan,Asia,Export,Memory ICs,73098.84,0.149,10
2019,Taiwan,Asia,Canada,North America,Export,Analog ICs,212584.23,0.093,8
2019,South Korea,Asia,France,Europe,Import,Analog ICs,8496.41,0.09,10
2019,Mexico,North America,UK,Europe,Export,Memory ICs,353848.95,0.027,5
2019,Taiwan,Asia,Canada,North America,Import,Sensors,14766.56,0.089,7
2019,Malaysia,Asia,Japan,Asia,Export,Sensors,4043.85,0.098,9
2019,Malaysia,Asia,Mexico,North America,Export,Analog ICs,1653.48,0.116,8
2019,Japan,Asia,Canada,North America,Import,Analog ICs,224505.07,0.133,6
2019,UK,Europe,Vietnam,Asia,Import,Memory ICs,3736.87,0.067,8
2019,India,Asia,Mexico,North America,Import,Logic ICs,51445.63,0.025,4
2019,Mexico,North America,Malaysia,Asia,Import,Optoelectronics,60332.81,0.117,8
2019,Mexico,North America,Singapore,Asia,Export,Sensors,296.56,0.031,4
2019,China,Asia,UK,Europe,Export,Logic ICs,94396.48,0.006,7
2019,Germany,Europe,Taiwan,Asia,Import,Optoelectronics,24437.93,0.013,1
2019,USA,North America,Germany,Europe,Export,Microprocessors,29105.58,0.13,8
2019,France,Europe,India,Asia,Export,Microprocessors,54451.72,0.08,7
2019,UK,Europe,Canada,North America,Export,Memory ICs,75022.83,0.145,1
2019,Netherlands,Europe,Singapore,Asia,Import,Sensors,2678.92,0.13,6
2019,France,Europe,China,Asia,Import,Memory ICs,44828.64,0.037,10
2019,Singapore,Asia,France,Europe,Export,Logic ICs,20877.17,0.005,8
2019,Malaysia,Asia,UK,Europe,Export,Logic ICs,75815.45,0.124,5
2019,Malaysia,Asia,Vietnam,Asia,Export,Microprocessors,29204.36,0.024,6
2019,France,Europe,Malaysia,Asia,Import,Logic ICs,13043.79,0.016,2
2019,Canada,North America,Taiwan,Asia,Export,Microprocessors,7979.58,0.1,6
2019,China,Asia,Canada,North America,Import,Analog ICs,11624.69,0.045,7
2019,Malaysia,Asia,South Korea,Asia,Import,Logic ICs,146730.62,0.055,7
2019,France,Europe,South Korea,Asia,Import,Microprocessors,1838356.67,0.082,3
2019,Mexico,North America,Taiwan,Asia,Export,Analog ICs,203612.8,0.091,10
2019,China,Asia,UK,Europe,Import,Analog ICs,76480.7,0.127,5
2019,Canada,North America,Vietnam,Asia,Import,Microprocessors,24755.5,0.022,5
2019,France,Europe,Mexico,North America,Export,Analog ICs,85814.75,0.108,5
2019,Netherlands,Europe,India,Asia,Import,Optoelectronics,69629.06,0.135,9
2019,Japan,Asia,India,Asia,Import,Microprocessors,15096.33,0.015,4
2019,South Korea,Asia,Japan,Asia,Export,Analog ICs,66579.14,0.139,3
2019,Singapore,Asia,Vietnam,Asia,Export,Sensors,3043.44,0.062,9
2019,UK,Europe,India,Asia,Import,Microprocessors,144573.37,0.027,7
2019,France,Europe,Singapore,Asia,Import,Memory ICs,4250.35,0.122,8
2019,Canada,North America,Vietnam,Asia,Import,Analog ICs,16306.45,0.0,6
2019,Taiwan,Asia,South Korea,Asia,Export,Microprocessors,5410.07,0.092,10
2019,Malaysia,Asia,Canada,North America,Export,Logic ICs,5850.01,0.036,5
2019,Japan,Asia,China,Asia,Export,Analog ICs,52633.69,0.121,3
2019,Japan,Asia,Vietnam,Asia,Import,Memory ICs,131206.45,0.023,1
2019,Germany,Europe,Mexico,North America,Export,Logic ICs,15205.69,0.004,3
2019,Mexico,North America,Netherlands,Europe,Export,Analog ICs,16989.63,0.035,9
2019,UK,Europe,Malaysia,Asia,Export,Analog ICs,624407.5,0.066,7
2019,Malaysia,Asia,USA,North America,Import,Microprocessors,279012.41,0.123,4
2019,Vietnam,Asia,Taiwan,Asia,Export,Optoelectronics,2436.8,0.053,4
2019,Canada,North America,USA,North America,Export,Memory ICs,5310.3,0.1,5
2019,Singapore,Asia,Taiwan,Asia,Export,Memory ICs,7391.2,0.069,6
2019,Taiwan,Asia,China,Asia,Import,Microprocessors,238527.79,0.099,1
2019,Germany,Europe,China,Asia,Import,Sensors,312755.73,0.013,5
2019,Canada,North America,France,Europe,Import,Logic ICs,606.64,0.026,10
2019,UK,Europe,Malaysia,Asia,Import,Microprocessors,304985.33,0.119,7
2019,Mexico,North America,Germany,Europe,Export,Sensors,1940.91,0.149,8
2019,Singapore,Asia,Mexico,North America,Import,Logic ICs,6018.99,0.039,8
2019,Netherlands,Europe,USA,North America,Import,Microprocessors,76107.33,0.117,2
2019,Canada,North America,UK,Europe,Export,Logic ICs,5630.37,0.057,2
2019,India,Asia,Malaysia,Asia,Import,Logic ICs,2102.79,0.046,4
2019,UK,Europe,Netherlands,Europe,Export,Microprocessors,45734.22,0.085,4
2019,Vietnam,Asia,Mexico,North America,Import,Logic ICs,363721.7,0.017,2
2019,Canada,North America,Germany,Europe,Export,Memory ICs,37600.95,0.119,4
2019,UK,Europe,Malaysia,Asia,Import,Optoelectronics,41914.86,0.003,2
2019,Germany,Europe,China,Asia,Export,Microprocessors,91541.07,0.086,6
2019,USA,North America,Japan,Asia,Import,Sensors,28013.76,0.021,6
2019,UK,Europe,Canada,North America,Export,Analog ICs,4451.17,0.072,4
2019,Malaysia,Asia,France,Europe,Export,Optoelectronics,44493.39,0.082,4
2019,China,Asia,Canada,North America,Export,Sensors,802.02,0.058,5
2019,Germany,Europe,China,Asia,Export,Logic ICs,271813.84,0.009,2
2019,Canada,North America,France,Europe,Export,Logic ICs,1878.91,0.011,3
2019,Netherlands,Europe,Mexico,North America,Import,Microprocessors,13086.27,0.095,8
2019,USA,North America,South Korea,Asia,Import,Microprocessors,147135.36,0.079,7
2019,China,Asia,France,Europe,Import,Microprocessors,1130.26,0.061,3
2019,Netherlands,Europe,India,Asia,Export,Sensors,65050.91,0.115,7
2019,China,Asia,UK,Europe,Import,Optoelectronics,100539.94,0.003,5
2019,Vietnam,Asia,Netherlands,Europe,Export,Optoelectronics,3016.3,0.082,5
2019,Japan,Asia,Netherlands,Europe,Import,Memory ICs,20704.82,0.019,2
2019,Japan,Asia,Mexico,North America,Export,Analog ICs,1416.86,0.069,5
2019,Vietnam,Asia,Canada,North America,Import,Logic ICs,873.82,0.015,8
2019,Malaysia,Asia,USA,North America,Export,Microprocessors,29659.5,0.14,8
2019,South Korea,Asia,Mexico,North America,Import,Memory ICs,10306.04,0.058,6
2019,Singapore,Asia,USA,North America,Import,Logic ICs,23482.44,0.023,1
2019,Netherlands,Europe,South Korea,Asia,Export,Optoelectronics,4881.29,0.006,7
2019,India,Asia,USA,North America,Import,Analog ICs,1488.83,0.052,3
2019,Netherlands,Europe,Germany,Europe,Export,Analog ICs,3155.09,0.026,5
2019,South Korea,Asia,UK,Europe,Export,Memory ICs,74180.92,0.057,2
2019,Germany,Europe,USA,North America,Export,Sensors,303251.5,0.039,9
2019,Malaysia,Asia,Vietnam,Asia,Import,Sensors,11883.44,0.019,8
2019,China,Asia,Taiwan,Asia,Import,Optoelectronics,87019.98,0.138,2
2019,India,Asia,Vietnam,Asia,Import,Logic ICs,2725.43,0.066,9
2019,China,Asia,Taiwan,Asia,Export,Sensors,431.51,0.139,3
2019,UK,Europe,USA,North America,Export,Optoelectronics,123123.97,0.129,1
2019,Mexico,North America,Malaysia,Asia,Import,Memory ICs,6862.62,0.095,5
2019,UK,Europe,Singapore,Asia,Export,Sensors,82930.86,0.027,6
2019,Taiwan,Asia,India,Asia,Import,Sensors,230256.16,0.081,2
2019,China,Asia,Canada,North America,Import,Microprocessors,7652.34,0.076,8
2019,Mexico,North America,Canada,North America,Export,Analog ICs,71162.98,0.114,1
2019,Singapore,Asia,Germany,Europe,Import,Sensors,824679.46,0.131,9
2019,South Korea,Asia,France,Europe,Export,Memory ICs,76657.12,0.084,8
2019,USA,North America,Mexico,North America,Import,Analog ICs,289515.74,0.031,10
